region;state;time;cases_cum;cases_new;deaths_cum;deaths_new;cases_cum_norm;deaths_cum_norm
Centro-Oeste;Distrito Federal;2020-02-25;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-02-26;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-02-27;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-02-28;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-02-29;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-03-01;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-03-02;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-03-03;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-03-04;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-03-05;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-03-06;0.0;0;0;0;0.0;0.0
Centro-Oeste;Distrito Federal;2020-03-07;1.0;1;0;0;0.0332;0.0
Centro-Oeste;Distrito Federal;2020-03-08;1.0;0;0;0;0.0332;0.0
Centro-Oeste;Distrito Federal;2020-03-09;1.0;0;0;0;0.0332;0.0
Centro-Oeste;Distrito Federal;2020-03-10;1.0;0;0;0;0.0332;0.0
Centro-Oeste;Distrito Federal;2020-03-11;2.0;1;0;0;0.0663;0.0
Centro-Oeste;Distrito Federal;2020-03-12;2.0;0;0;0;0.0663;0.0
Centro-Oeste;Distrito Federal;2020-03-13;2.0;0;0;0;0.0663;0.0
Centro-Oeste;Distrito Federal;2020-03-14;6.0;4;0;0;0.199;0.0
Centro-Oeste;Distrito Federal;2020-03-15;8.0;2;0;0;0.2653;0.0
Centro-Oeste;Distrito Federal;2020-03-16;13.0;5;0;0;0.4311;0.0
Centro-Oeste;Distrito Federal;2020-03-17;22.0;9;0;0;0.7296;0.0
Centro-Oeste;Distrito Federal;2020-03-18;26.0;4;0;0;0.8623;0.0
Centro-Oeste;Distrito Federal;2020-03-19;42.0;16;0;0;1.3929;0.0
Centro-Oeste;Distrito Federal;2020-03-20;87.0;45;0;0;2.8853;0.0
Centro-Oeste;Distrito Federal;2020-03-21;100.0;13;0;0;3.3165;0.0
Centro-Oeste;Distrito Federal;2020-03-22;117.0;17;0;0;3.8803;0.0
Centro-Oeste;Distrito Federal;2020-03-23;133.0;16;0;0;4.4109;0.0
Centro-Oeste;Distrito Federal;2020-03-24;160.0;27;0;0;5.3063;0.0
Centro-Oeste;Distrito Federal;2020-03-25;160.0;0;0;0;5.3063;0.0
Centro-Oeste;Distrito Federal;2020-03-26;200.0;40;0;0;6.6329;0.0
Centro-Oeste;Distrito Federal;2020-03-27;230.0;30;0;0;7.6278;0.0
Centro-Oeste;Distrito Federal;2020-03-28;260.0;30;0;0;8.6228;0.0
Centro-Oeste;Distrito Federal;2020-03-29;289.0;29;1;1;9.5846;0.0332
Centro-Oeste;Distrito Federal;2020-03-30;312.0;23;1;0;10.3473;0.0332
Centro-Oeste;Distrito Federal;2020-03-31;332.0;20;3;2;11.0106;0.0995
Centro-Oeste;Distrito Federal;2020-04-01;355.0;23;3;0;11.7734;0.0995
Centro-Oeste;Distrito Federal;2020-04-02;370.0;15;4;1;12.2709;0.1327
Centro-Oeste;Distrito Federal;2020-04-03;402.0;32;5;1;13.3321;0.1658
Centro-Oeste;Distrito Federal;2020-04-04;454.0;52;7;2;15.0567;0.2322
Centro-Oeste;Distrito Federal;2020-04-05;468.0;14;7;0;15.521;0.2322
Centro-Oeste;Distrito Federal;2020-04-06;473.0;5;10;3;15.6868;0.3316
Centro-Oeste;Distrito Federal;2020-04-07;492.0;19;12;2;16.317;0.398
Centro-Oeste;Distrito Federal;2020-04-08;509.0;17;12;0;16.8808;0.398
Centro-Oeste;Distrito Federal;2020-04-09;527.0;18;13;1;17.4777;0.4311
Centro-Oeste;Distrito Federal;2020-04-10;555.0;28;14;1;18.4063;0.4643
