time;deaths;deaths_cum
2020-02-27;0;0
2020-02-28;0;0
2020-02-29;0;0
2020-03-01;0;0
2020-03-02;0;0
2020-03-03;0;0
2020-03-04;0;0
2020-03-05;0;0
2020-03-06;1;1
2020-03-07;1;2
2020-03-08;2;4
2020-03-09;0;4
2020-03-10;1;5
2020-03-11;2;7
2020-03-12;3;10
2020-03-13;6;16
2020-03-14;10;26
2020-03-15;14;40
2020-03-16;24;64
2020-03-17;23;87
2020-03-18;19;106
2020-03-19;44;150
2020-03-20;56;206
2020-03-21;64;270
2020-03-22;61;331
2020-03-23;86;417
2020-03-24;77;494
2020-03-25;114;608
2020-03-26;124;732
2020-03-27;113;845
2020-03-28;153;998
2020-03-29;123;1121
2020-03-30;153;1274
2020-03-31;175;1449
2020-04-01;162;1611
2020-04-02;173;1784
2020-04-03;172;1956
2020-04-04;169;2125
2020-04-05;162;2287
2020-04-06;166;2453
2020-04-07;151;2604
2020-04-08;150;2754
2020-04-09;118;2872
2020-04-10;157;3029
2020-04-11;140;3169
2020-04-12;143;3312
2020-04-13;129;3441
2020-04-14;130;3571
2020-04-15;124;3695
2020-04-16;137;3832
2020-04-17;129;3961
2020-04-18;117;4078
2020-04-19;114;4192
2020-04-20;95;4287
2020-04-21;128;4415
2020-04-22;117;4532
2020-04-23;104;4636
2020-04-24;92;4728
2020-04-25;81;4809
2020-04-26;78;4887
2020-04-27;75;4962
2020-04-28;70;5032
2020-04-29;58;5090
2020-04-30;67;5157
2020-05-01;53;5210
2020-05-02;55;5265
2020-05-03;45;5310
2020-05-04;57;5367
2020-05-05;35;5402
2020-05-06;53;5455
2020-05-07;44;5499
2020-05-08;40;5539
2020-05-09;39;5578
2020-05-10;25;5603
2020-05-11;33;5636
2020-05-12;33;5669
2020-05-13;26;5695
2020-05-14;21;5716
2020-05-15;23;5739
2020-05-16;20;5759
2020-05-17;16;5775
2020-05-18;15;5790
2020-05-19;19;5809
2020-05-20;22;5831
2020-05-21;11;5842
2020-05-22;20;5862
2020-05-23;17;5879
2020-05-24;13;5892
2020-05-25;15;5907
2020-05-26;19;5926
2020-05-27;16;5942
2020-05-28;5;5947
2020-05-29;11;5958
2020-05-30;11;5969
2020-05-31;13;5982
2020-06-01;7;5989
2020-06-02;8;5997
2020-06-03;6;6003
2020-06-04;7;6010
2020-06-05;9;6019
2020-06-06;7;6026
2020-06-07;9;6035
2020-06-08;2;6037
2020-06-09;5;6042
2020-06-10;6;6048
2020-06-11;5;6053
2020-06-12;3;6056
2020-06-13;0;6056
2020-06-14;2;6058
2020-06-15;0;6058
