Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage (gemeente);545838;8-4-2020;21-4-2020;460;84,3;66;12,1;77;14,1
796;'s-Hertogenbosch;155111;8-4-2020;21-4-2020;137;88,3;10;6,4;25;16,1
1680;Aa en Hunze;25445;8-4-2020;21-4-2020;6;23,6;0;0;0;0
358;Aalsmeer;31859;8-4-2020;21-4-2020;11;34,5;2;6,3;0;0
197;Aalten;27121;8-4-2020;21-4-2020;31;114,3;3;11,1;0;0
59;Achtkarspelen;27843;8-4-2020;21-4-2020;3;10,8;0;0;0;0
482;Alblasserdam;20165;8-4-2020;21-4-2020;20;99,2;3;14,9;1;5
613;Albrandswaard;25590;8-4-2020;21-4-2020;33;129;1;3,9;4;15,6
361;Alkmaar;109436;8-4-2020;21-4-2020;86;78,6;9;8,2;8;7,3
141;Almelo;73107;8-4-2020;21-4-2020;35;47,9;4;5,5;4;5,5
34;Almere;211893;8-4-2020;21-4-2020;132;62,3;19;9;7;3,3
484;Alphen aan den Rijn;111897;8-4-2020;21-4-2020;68;60,8;11;9,8;9;8
1723;Alphen-Chaam;10203;8-4-2020;21-4-2020;5;49;0;0;1;9,8
1959;Altena;55967;8-4-2020;21-4-2020;41;73,3;2;3,6;7;12,5
60;Ameland;3716;8-4-2020;21-4-2020;0;0;0;0;0;0
307;Amersfoort;157276;8-4-2020;21-4-2020;63;40,1;5;3,2;6;3,8
362;Amstelveen;91675;8-4-2020;21-4-2020;105;114,5;11;12;12;13,1
363;Amsterdam;872757;8-4-2020;21-4-2020;660;75,6;126;14,4;88;10,1
200;Apeldoorn;163818;8-4-2020;21-4-2020;166;101,3;18;11;19;11,6
3;Appingedam;11642;8-4-2020;21-4-2020;2;17,2;1;8,6;0;0
202;Arnhem;161348;8-4-2020;21-4-2020;110;68,2;9;5,6;12;7,4
106;Assen;68599;8-4-2020;21-4-2020;11;16;1;1,5;0;0
743;Asten;16721;8-4-2020;21-4-2020;33;197,4;4;23,9;5;29,9
744;Baarle-Nassau;6859;8-4-2020;21-4-2020;3;43,7;1;14,6;0;0
308;Baarn;24868;8-4-2020;21-4-2020;18;72,4;2;8;5;20,1
489;Barendrecht;48714;8-4-2020;21-4-2020;36;73,9;4;8,2;6;12,3
203;Barneveld;59082;8-4-2020;21-4-2020;43;72,8;6;10,2;4;6,8
888;Beek (L.);15865;8-4-2020;21-4-2020;15;94,5;3;18,9;1;6,3
1954;Beekdaelen;35938;8-4-2020;21-4-2020;53;147,5;8;22,3;8;22,3
370;Beemster;10022;8-4-2020;21-4-2020;1;10;0;0;0;0
889;Beesel;13482;8-4-2020;21-4-2020;17;126,1;4;29,7;2;14,8
1945;Berg en Dal;34992;8-4-2020;21-4-2020;49;140;4;11,4;2;5,7
1724;Bergeijk;18635;8-4-2020;21-4-2020;19;102;3;16,1;1;5,4
893;Bergen (L.);13085;8-4-2020;21-4-2020;10;76,4;0;0;1;7,6
373;Bergen (NH.);29839;8-4-2020;21-4-2020;12;40,2;0;0;2;6,7
748;Bergen op Zoom;67496;8-4-2020;21-4-2020;44;65,2;3;4,4;3;4,4
1859;Berkelland;43747;8-4-2020;21-4-2020;44;100,6;3;6,9;4;9,1
1721;Bernheze;31240;8-4-2020;21-4-2020;63;201,7;9;28,8;18;57,6
753;Best;29988;8-4-2020;21-4-2020;6;20;0;0;4;13,3
209;Beuningen;25890;8-4-2020;21-4-2020;16;61,8;1;3,9;0;0
375;Beverwijk;41626;8-4-2020;21-4-2020;21;50,4;3;7,2;4;9,6
1728;Bladel;20390;8-4-2020;21-4-2020;15;73,6;3;14,7;0;0
376;Blaricum;11540;8-4-2020;21-4-2020;12;104;2;17,3;0;0
377;Bloemendaal;23571;8-4-2020;21-4-2020;6;25,5;1;4,2;1;4,2
1901;Bodegraven-Reeuwijk;34872;8-4-2020;21-4-2020;15;43;1;2,9;0;0
755;Boekel;10785;8-4-2020;21-4-2020;11;102;1;9,3;5;46,4
1681;Borger-Odoorn;25559;8-4-2020;21-4-2020;3;11,7;2;7,8;1;3,9
147;Borne;23312;8-4-2020;21-4-2020;8;34,3;0;0;1;4,3
654;Borsele;22739;8-4-2020;21-4-2020;8;35,2;1;4,4;0;0
756;Boxmeer;29365;8-4-2020;21-4-2020;42;143;0;0;12;40,9
757;Boxtel;30801;8-4-2020;21-4-2020;20;64,9;4;13;4;13
758;Breda;184069;8-4-2020;21-4-2020;80;43,5;4;2,2;14;7,6
501;Brielle;17271;8-4-2020;21-4-2020;6;34,7;1;5,8;0;0
1876;Bronckhorst;36055;8-4-2020;21-4-2020;35;97,1;6;16,6;2;5,5
213;Brummen;20726;8-4-2020;21-4-2020;14;67,5;4;19,3;3;14,5
899;Brunssum;27821;8-4-2020;21-4-2020;23;82,7;8;28,8;3;10,8
312;Bunnik;15191;8-4-2020;21-4-2020;6;39,5;2;13,2;0;0
313;Bunschoten;21866;8-4-2020;21-4-2020;30;137,2;2;9,1;5;22,9
214;Buren;26749;8-4-2020;21-4-2020;15;56,1;6;22,4;4;15
502;Capelle aan den IJssel;67122;8-4-2020;21-4-2020;102;152;13;19,4;18;26,8
383;Castricum;35986;8-4-2020;21-4-2020;27;75;1;2,8;3;8,3
109;Coevorden;35297;8-4-2020;21-4-2020;14;39,7;0;0;1;2,8
1706;Cranendonck;21138;8-4-2020;21-4-2020;59;279,1;5;23,7;14;66,2
1684;Cuijk;25130;8-4-2020;21-4-2020;16;63,7;3;11,9;2;8
216;Culemborg;28955;8-4-2020;21-4-2020;17;58,7;1;3,5;1;3,5
148;Dalfsen;28587;8-4-2020;21-4-2020;32;111,9;1;3,5;2;7
1891;Dantumadiel;18922;8-4-2020;21-4-2020;0;0;0;0;0;0
310;De Bilt;43137;8-4-2020;21-4-2020;28;64,9;4;9,3;4;9,3
1940;De Fryske Marren;51564;8-4-2020;21-4-2020;18;34,9;2;3,9;1;1,9
736;De Ronde Venen;44456;8-4-2020;21-4-2020;28;63;11;24,7;6;13,5
1690;De Wolden;24330;8-4-2020;21-4-2020;17;69,9;3;12,3;0;0
503;Delft;103595;8-4-2020;21-4-2020;43;41,5;2;1,9;5;4,8
10;Delfzijl;24678;8-4-2020;21-4-2020;3;12,2;0;0;0;0
400;Den Helder;56296;8-4-2020;21-4-2020;14;24,9;0;0;0;0
762;Deurne;32471;8-4-2020;21-4-2020;34;104,7;1;3,1;6;18,5
150;Deventer;100719;8-4-2020;21-4-2020;89;88,4;8;7,9;7;7
384;Diemen;30780;8-4-2020;21-4-2020;34;110,5;5;16,2;6;19,5
1774;Dinkelland;26461;8-4-2020;21-4-2020;16;60,5;0;0;3;11,3
221;Doesburg;11077;8-4-2020;21-4-2020;12;108,3;3;27,1;3;27,1
222;Doetinchem;58001;8-4-2020;21-4-2020;29;50;5;8,6;9;15,5
766;Dongen;26222;8-4-2020;21-4-2020;16;61;4;15,3;2;7,6
505;Dordrecht;119284;8-4-2020;21-4-2020;120;100,6;16;13,4;11;9,2
498;Drechterland;19719;8-4-2020;21-4-2020;16;81,1;2;10,1;4;20,3
1719;Drimmelen;27272;8-4-2020;21-4-2020;19;69,7;2;7,3;1;3,7
303;Dronten;41555;8-4-2020;21-4-2020;54;129,9;6;14,4;7;16,8
225;Druten;18926;8-4-2020;21-4-2020;65;343,4;2;10,6;3;15,9
226;Duiven;25126;8-4-2020;21-4-2020;16;63,7;4;15,9;3;11,9
1711;Echt-Susteren;31610;8-4-2020;21-4-2020;22;69,6;3;9,5;4;12,7
385;Edam-Volendam;36197;8-4-2020;21-4-2020;42;116;3;8,3;2;5,5
228;Ede;117165;8-4-2020;21-4-2020;67;57,2;6;5,1;7;6
317;Eemnes;9247;8-4-2020;21-4-2020;7;75,7;1;10,8;0;0
770;Eersel;19313;8-4-2020;21-4-2020;19;98,4;5;25,9;5;25,9
1903;Eijsden-Margraten;25768;8-4-2020;21-4-2020;40;155,2;7;27,2;9;34,9
772;Eindhoven;234394;8-4-2020;21-4-2020;131;55,9;30;12,8;30;12,8
230;Elburg;23161;8-4-2020;21-4-2020;55;237,5;7;30,2;3;13
114;Emmen;107048;8-4-2020;21-4-2020;35;32,7;4;3,7;5;4,7
388;Enkhuizen;18591;8-4-2020;21-4-2020;4;21,5;2;10,8;0;0
153;Enschede;159640;8-4-2020;21-4-2020;44;27,6;6;3,8;4;2,5
232;Epe;33178;8-4-2020;21-4-2020;54;162,8;11;33,2;11;33,2
233;Ermelo;27008;8-4-2020;21-4-2020;34;125,9;2;7,4;3;11,1
777;Etten-Leur;43878;8-4-2020;21-4-2020;50;114;4;9,1;4;9,1
779;Geertruidenberg;21544;8-4-2020;21-4-2020;16;74,3;1;4,6;2;9,3
1771;Geldrop-Mierlo;39726;8-4-2020;21-4-2020;30;75,5;4;10,1;9;22,7
1652;Gemert-Bakel;30723;8-4-2020;21-4-2020;33;107,4;4;13;7;22,8
907;Gennep;16921;8-4-2020;21-4-2020;16;94,6;1;5,9;4;23,6
784;Gilze en Rijen;26431;8-4-2020;21-4-2020;21;79,5;1;3,8;4;15,1
1924;Goeree-Overflakkee;50049;8-4-2020;21-4-2020;49;97,9;6;12;13;26
664;Goes;38082;8-4-2020;21-4-2020;32;84;1;2,6;5;13,1
785;Goirle;23904;8-4-2020;21-4-2020;16;66,9;4;16,7;4;16,7
1942;Gooise Meren;58055;8-4-2020;21-4-2020;36;62;2;3,4;3;5,2
512;Gorinchem;37022;8-4-2020;21-4-2020;48;129,7;2;5,4;7;18,9
513;Gouda;73427;8-4-2020;21-4-2020;112;152,5;5;6,8;14;19,1
786;Grave;12436;8-4-2020;21-4-2020;17;136,7;2;16,1;2;16,1
14;Groningen (gemeente);232874;8-4-2020;21-4-2020;32;13,7;3;1,3;0;0
