time;Ziekenhuisopname;Ziekenhuisopname_add;Cases;Cases_add
2020-02-27;3;3;5;5
2020-02-28;4;7;5;10
2020-02-29;2;9;14;24
2020-03-01;8;17;13;37
2020-03-02;10;27;47;84
2020-03-03;10;37;41;125
2020-03-04;13;50;44;169
2020-03-05;11;61;43;212
2020-03-06;22;83;32;244
2020-03-07;8;91;46;290
2020-03-08;21;112;72;362
2020-03-09;32;144;78;440
2020-03-10;35;179;138;578
2020-03-11;47;226;168;746
2020-03-12;70;296;186;932
2020-03-13;87;383;222;1154
2020-03-14;72;455;221;1375
2020-03-15;91;546;235;1610
2020-03-16;168;714;271;1881
2020-03-17;162;876;370;2251
2020-03-18;219;1095;458;2709
2020-03-19;310;1405;515;3224
2020-03-20;302;1707;696;3920
2020-03-21;249;1956;669;4589
2020-03-22;281;2237;540;5129
2020-03-23;511;2748;619;5748
2020-03-24;493;3241;1120;6868
2020-03-25;512;3753;1051;7919
2020-03-26;502;4255;1051;8970
2020-03-27;620;4875;1179;10149
2020-03-28;354;5229;986;11135
2020-03-29;296;5525;746;11881
2020-03-30;498;6023;806;12687
2020-03-31;359;6382;1124;13811
2020-04-01;344;6726;1045;14856
2020-04-02;388;7114;1028;15884
2020-04-03;373;7487;1222;17106
2020-04-04;206;7693;1096;18202
2020-04-05;255;7948;858;19060
2020-04-06;348;8296;772;19832
2020-04-07;226;8522;1088;20920
2020-04-08;228;8750;1345;22265
2020-04-09;204;8954;1315;23580
2020-04-10;223;9177;1394;24974
2020-04-11;140;9317;1054;26028
2020-04-12;151;9468;823;26851
2020-04-13;177;9645;756;27607
2020-04-14;171;9816;816;28423
2020-04-15;125;9941;1114;29537
2020-04-16;127;10068;1167;30704
2020-04-17;141;10209;1275;31979
2020-04-18;79;10288;994;32973
2020-04-19;84;10372;623;33596
2020-04-20;113;10485;585;34181
2020-04-21;111;10596;712;34893
2020-04-22;90;10686;971;35864
2020-04-23;95;10781;796;36660
2020-04-24;80;10861;660;37320
2020-04-25;50;10911;576;37896
2020-04-26;44;10955;379;38275
2020-04-27;64;11019;177;38452
2020-04-28;88;11107;393;38845
2020-04-29;53;11160;459;39304
2020-04-30;68;11228;507;39811
2020-05-01;50;11278;491;40302
2020-05-02;30;11308;312;40614
2020-05-03;37;11345;175;40789
2020-05-04;59;11404;285;41074
2020-05-05;26;11430;251;41325
2020-05-06;55;11485;302;41627
2020-05-07;44;11529;297;41924
2020-05-08;56;11585;327;42251
2020-05-09;31;11616;252;42503
2020-05-10;22;11638;152;42655
2020-05-11;47;11685;169;42824
2020-05-12;24;11709;218;43042
2020-05-13;33;11742;295;43337
2020-05-14;24;11766;185;43522
2020-05-15;29;11795;210;43732
2020-05-16;21;11816;156;43888
2020-05-17;28;11844;113;44001
2020-05-18;34;11878;103;44104
2020-05-19;17;11895;180;44284
