Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;09-12-2020;22-12-2020;3156;578,2;46;8,4;14;2,6
14;Groningen;232874;09-12-2020;22-12-2020;897;385,2;7;3;3;1,3
1729;Gulpen-Wittem;14171;09-12-2020;22-12-2020;111;783,3;0;0;0;0
158;Haaksbergen;24311;09-12-2020;22-12-2020;317;1303,9;0;0;0;0
788;Haaren;14370;09-12-2020;22-12-2020;119;828,1;2;13,9;2;13,9
392;Haarlem;162902;09-12-2020;22-12-2020;1060;650,7;3;1,8;4;2,5
394;Haarlemmermeer;156002;09-12-2020;22-12-2020;1034;662,8;7;4,5;21;13,5
1655;Halderberge;30284;09-12-2020;22-12-2020;181;597,7;3;9,9;0;0
160;Hardenberg;60948;09-12-2020;22-12-2020;441;723,6;0;0;0;0
243;Harderwijk;48414;09-12-2020;22-12-2020;372;768,4;3;6,2;2;4,1
523;Hardinxveld-Giessendam;18295;09-12-2020;22-12-2020;195;1065,9;0;0;1;5,5
72;Harlingen;15722;09-12-2020;22-12-2020;24;152,7;0;0;0;0
244;Hattem;12209;09-12-2020;22-12-2020;60;491,4;0;0;0;0
396;Heemskerk;39182;09-12-2020;22-12-2020;234;597,2;0;0;1;2,6
397;Heemstede;27234;09-12-2020;22-12-2020;154;565,5;0;0;5;18,4
246;Heerde;18589;09-12-2020;22-12-2020;113;607,9;0;0;0;0
74;Heerenveen;50493;09-12-2020;22-12-2020;122;241,6;0;0;0;0
398;Heerhugowaard;57587;09-12-2020;22-12-2020;526;913,4;3;5,2;2;3,5
917;Heerlen;87086;09-12-2020;22-12-2020;592;679,8;5;5,7;2;2,3
1658;Heeze-Leende;16152;09-12-2020;22-12-2020;144;891,5;0;0;1;6,2
399;Heiloo;23968;09-12-2020;22-12-2020;134;559,1;0;0;0;0
163;Hellendoorn;35916;09-12-2020;22-12-2020;464;1291,9;1;2,8;4;11,1
530;Hellevoetsluis;40142;09-12-2020;22-12-2020;176;438,4;1;2,5;2;5
794;Helmond;92423;09-12-2020;22-12-2020;523;565,9;4;4,3;0;0
531;Hendrik-Ido-Ambacht;31202;09-12-2020;22-12-2020;225;721,1;0;0;4;12,8
164;Hengelo;81140;09-12-2020;22-12-2020;722;889,8;3;3,7;0;0
796;'s-Hertogenbosch;155111;09-12-2020;22-12-2020;1300;838,1;4;2,6;7;4,5
1966;Het Hogeland;47801;09-12-2020;22-12-2020;235;491,6;1;2,1;0;0
252;Heumen;16454;09-12-2020;22-12-2020;120;729,3;2;12,2;0;0
797;Heusden;44692;09-12-2020;22-12-2020;280;626,5;3;6,7;4;9
534;Hillegom;22209;09-12-2020;22-12-2020;129;580,8;2;9;0;0
798;Hilvarenbeek;15518;09-12-2020;22-12-2020;174;1121,3;1;6,4;1;6,4
402;Hilversum;90831;09-12-2020;22-12-2020;470;517,4;0;0;4;4,4
1963;Hoeksche Waard;87401;09-12-2020;22-12-2020;492;562,9;2;2,3;2;2,3
1735;Hof van Twente;35017;09-12-2020;22-12-2020;227;648,3;1;2,9;1;2,9
1911;Hollands Kroon;48432;09-12-2020;22-12-2020;327;675,2;0;0;1;2,1
118;Hoogeveen;55699;09-12-2020;22-12-2020;596;1070;3;5,4;1;1,8
405;Hoorn;73261;09-12-2020;22-12-2020;581;793,1;2;2,7;0;0
1507;Horst aan de Maas;42429;09-12-2020;22-12-2020;572;1348,1;1;2,4;3;7,1
321;Houten;50146;09-12-2020;22-12-2020;411;819,6;1;2;1;2
406;Huizen;41273;09-12-2020;22-12-2020;418;1012,8;1;2,4;7;17
677;Hulst;27556;09-12-2020;22-12-2020;110;399,2;1;3,6;1;3,6
353;IJsselstein;34109;09-12-2020;22-12-2020;237;694,8;0;0;0;0
1884;Kaag en Braassem;27297;09-12-2020;22-12-2020;242;886,5;1;3,7;0;0
166;Kampen;54319;09-12-2020;22-12-2020;356;655,4;1;1,8;1;1,8
678;Kapelle;12695;09-12-2020;22-12-2020;83;653,8;1;7,9;1;7,9
537;Katwijk;65753;09-12-2020;22-12-2020;685;1041,8;4;6,1;3;4,6
928;Kerkrade;45749;09-12-2020;22-12-2020;275;601,1;1;2,2;1;2,2
1598;Koggenland;22749;09-12-2020;22-12-2020;121;531,9;0;0;0;0
542;Krimpen aan den IJssel;29526;09-12-2020;22-12-2020;326;1104,1;0;0;4;13,5
1931;Krimpenerwaard;56319;09-12-2020;22-12-2020;457;811,4;7;12,4;2;3,6
1659;Laarbeek;22523;09-12-2020;22-12-2020;220;976,8;2;8,9;1;4,4
1685;Landerd;15730;09-12-2020;22-12-2020;136;864,6;1;6,4;0;0
882;Landgraaf;37445;09-12-2020;22-12-2020;348;929,4;1;2,7;3;8
415;Landsmeer;11491;09-12-2020;22-12-2020;76;661,4;1;8,7;0;0
416;Langedijk;28163;09-12-2020;22-12-2020;238;845,1;1;3,6;0;0
1621;Lansingerland;62384;09-12-2020;22-12-2020;497;796,7;4;6,4;1;1,6
417;Laren;11280;09-12-2020;22-12-2020;61;540,8;0;0;1;8,9
80;Leeuwarden;124084;09-12-2020;22-12-2020;483;389,3;0;0;1;0,8
546;Leiden;125099;09-12-2020;22-12-2020;681;544,4;4;3,2;0;0
547;Leiderdorp;27056;09-12-2020;22-12-2020;205;757,7;0;0;1;3,7
1916;Leidschendam-Voorburg;76534;09-12-2020;22-12-2020;587;767;8;10,5;3;3,9
995;Lelystad;78598;09-12-2020;22-12-2020;652;829,5;2;2,5;2;2,5
1640;Leudal;35879;09-12-2020;22-12-2020;397;1106,5;2;5,6;0;0
327;Leusden;30401;09-12-2020;22-12-2020;248;815,8;2;6,6;4;13,2
1705;Lingewaard;46601;09-12-2020;22-12-2020;407;873,4;1;2,1;0;0
553;Lisse;22955;09-12-2020;22-12-2020;222;967,1;4;17,4;2;8,7
262;Lochem;33729;09-12-2020;22-12-2020;187;554,4;1;3;1;3
809;Loon op Zand;23408;09-12-2020;22-12-2020;241;1029,6;1;4,3;1;4,3
