Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
1680;Aa en Hunze;25445;09-06-2021;22-06-2021;11;43,2;0;0;0;0
358;Aalsmeer;31859;09-06-2021;22-06-2021;36;113;0;0;0;0
197;Aalten;27121;09-06-2021;22-06-2021;23;84,8;0;0;0;0
59;Achtkarspelen;27843;09-06-2021;22-06-2021;3;10,8;0;0;0;0
482;Alblasserdam;20165;09-06-2021;22-06-2021;23;114,1;0;0;0;0
613;Albrandswaard;25590;09-06-2021;22-06-2021;22;86;1;3,9;0;0
361;Alkmaar;109436;09-06-2021;22-06-2021;86;78,6;0;0;0;0
141;Almelo;73107;09-06-2021;22-06-2021;32;43,8;0;0;0;0
34;Almere;211893;09-06-2021;22-06-2021;133;62,8;1;0,5;0;0
484;Alphen aan den Rijn;111897;09-06-2021;22-06-2021;67;59,9;0;0;0;0
1723;Alphen-Chaam;10203;09-06-2021;22-06-2021;9;88,2;0;0;0;0
1959;Altena;55967;09-06-2021;22-06-2021;19;33,9;0;0;0;0
60;Ameland;3716;09-06-2021;22-06-2021;0;0;0;0;0;0
307;Amersfoort;157276;09-06-2021;22-06-2021;155;98,6;0;0;0;0
362;Amstelveen;91675;09-06-2021;22-06-2021;116;126,5;0;0;0;0
363;Amsterdam;872757;09-06-2021;22-06-2021;758;86,9;8;0,9;5;0,6
200;Apeldoorn;163818;09-06-2021;22-06-2021;61;37,2;3;1,8;0;0
202;Arnhem;161348;09-06-2021;22-06-2021;155;96,1;1;0,6;0;0
106;Assen;68599;09-06-2021;22-06-2021;46;67,1;0;0;0;0
743;Asten;16721;09-06-2021;22-06-2021;13;77,7;0;0;0;0
744;Baarle-Nassau;6859;09-06-2021;22-06-2021;3;43,7;0;0;0;0
308;Baarn;24868;09-06-2021;22-06-2021;16;64,3;0;0;0;0
489;Barendrecht;48714;09-06-2021;22-06-2021;33;67,7;0;0;0;0
203;Barneveld;59082;09-06-2021;22-06-2021;97;164,2;1;1,7;1;1,7
888;Beek;15865;09-06-2021;22-06-2021;11;69,3;1;6,3;0;0
1954;Beekdaelen;35938;09-06-2021;22-06-2021;21;58,4;0;0;0;0
370;Beemster;10022;09-06-2021;22-06-2021;5;49,9;0;0;0;0
889;Beesel;13482;09-06-2021;22-06-2021;6;44,5;0;0;0;0
1945;Berg en Dal;34992;09-06-2021;22-06-2021;21;60;0;0;0;0
