time;deaths;deaths_cum
2020-02-27;0;0
2020-02-28;0;0
2020-02-29;0;0
2020-03-01;0;0
2020-03-02;0;0
2020-03-03;0;0
2020-03-04;0;0
2020-03-05;0;0
2020-03-06;1;1
2020-03-07;1;2
2020-03-08;2;4
2020-03-09;0;4
2020-03-10;1;5
2020-03-11;2;7
2020-03-12;3;10
2020-03-13;6;16
2020-03-14;10;26
2020-03-15;14;40
2020-03-16;24;64
2020-03-17;23;87
2020-03-18;19;106
2020-03-19;44;150
2020-03-20;56;206
2020-03-21;64;270
2020-03-22;61;331
2020-03-23;86;417
2020-03-24;76;493
2020-03-25;114;607
2020-03-26;124;731
2020-03-27;114;845
2020-03-28;153;998
2020-03-29;123;1121
2020-03-30;153;1274
2020-03-31;175;1449
2020-04-01;161;1610
2020-04-02;176;1786
2020-04-03;171;1957
2020-04-04;171;2128
2020-04-05;163;2291
2020-04-06;167;2458
2020-04-07;151;2609
2020-04-08;150;2759
2020-04-09;117;2876
2020-04-10;157;3033
2020-04-11;141;3174
2020-04-12;143;3317
2020-04-13;129;3446
2020-04-14;130;3576
2020-04-15;123;3699
2020-04-16;137;3836
2020-04-17;129;3965
2020-04-18;118;4083
2020-04-19;113;4196
2020-04-20;95;4291
2020-04-21;128;4419
2020-04-22;117;4536
2020-04-23;104;4640
2020-04-24;92;4732
2020-04-25;81;4813
2020-04-26;78;4891
2020-04-27;75;4966
2020-04-28;70;5036
2020-04-29;58;5094
2020-04-30;66;5160
2020-05-01;53;5213
2020-05-02;55;5268
2020-05-03;45;5313
2020-05-04;57;5370
2020-05-05;35;5405
2020-05-06;53;5458
2020-05-07;44;5502
2020-05-08;40;5542
2020-05-09;39;5581
2020-05-10;25;5606
2020-05-11;33;5639
2020-05-12;34;5673
2020-05-13;26;5699
2020-05-14;22;5721
2020-05-15;23;5744
2020-05-16;19;5763
2020-05-17;16;5779
2020-05-18;15;5794
2020-05-19;20;5814
2020-05-20;22;5836
2020-05-21;11;5847
2020-05-22;20;5867
2020-05-23;18;5885
2020-05-24;13;5898
2020-05-25;15;5913
2020-05-26;19;5932
2020-05-27;16;5948
2020-05-28;5;5953
2020-05-29;11;5964
2020-05-30;11;5975
2020-05-31;14;5989
2020-06-01;7;5996
2020-06-02;8;6004
2020-06-03;6;6010
2020-06-04;8;6018
2020-06-05;10;6028
2020-06-06;7;6035
2020-06-07;9;6044
2020-06-08;5;6049
2020-06-09;5;6054
2020-06-10;7;6061
2020-06-11;5;6066
2020-06-12;5;6071
2020-06-13;1;6072
2020-06-14;4;6076
2020-06-15;5;6081
2020-06-16;3;6084
2020-06-17;4;6088
2020-06-18;5;6093
2020-06-19;2;6095
2020-06-20;1;6096
2020-06-21;4;6100
2020-06-22;1;6101
2020-06-23;1;6102
2020-06-24;2;6104
2020-06-25;0;6104
2020-06-26;2;6106
2020-06-27;3;6109
2020-06-28;2;6111
2020-06-29;1;6112
2020-06-30;2;6114
2020-07-01;3;6117
2020-07-02;0;6117
2020-07-03;3;6120
2020-07-04;0;6120
2020-07-05;3;6123
2020-07-06;0;6123
2020-07-07;3;6126
2020-07-08;0;6126
2020-07-09;0;6126
2020-07-10;1;6127
2020-07-11;0;6127
2020-07-12;2;6129
2020-07-13;0;6129
2020-07-14;2;6131
2020-07-15;3;6134
2020-07-16;0;6134
2020-07-17;1;6135
2020-07-18;0;6135
2020-07-19;1;6136
2020-07-20;2;6138
2020-07-21;0;6138
2020-07-22;3;6141
2020-07-23;1;6142
2020-07-24;0;6142
2020-07-25;0;6142
2020-07-26;1;6143
2020-07-27;4;6147
2020-07-28;2;6149
2020-07-29;1;6150
2020-07-30;1;6151
2020-07-31;1;6152
2020-08-01;0;6152
2020-08-02;0;6152
2020-08-03;0;6152
2020-08-04;0;6152
2020-08-05;2;6154
2020-08-06;0;6154
2020-08-07;0;6154
2020-08-08;1;6155
2020-08-09;2;6157
2020-08-10;5;6162
2020-08-11;3;6165
2020-08-12;3;6168
2020-08-13;4;6172
2020-08-14;4;6176
2020-08-15;5;6181
2020-08-16;2;6183
2020-08-17;6;6189
2020-08-18;3;6192
2020-08-19;2;6194
2020-08-20;8;6202
2020-08-21;4;6206
2020-08-22;1;6207
2020-08-23;3;6210
2020-08-24;2;6212
2020-08-25;1;6213
2020-08-26;4;6217
2020-08-27;0;6217
2020-08-28;2;6219
2020-08-29;1;6220
2020-08-30;3;6223
2020-08-31;1;6224
2020-09-01;0;6224
