time;Ziekenhuisopname;Ziekenhuisopname_add;Cases;Cases_add
2020-02-27;1;1;3;3
2020-02-28;8;9;4;7
2020-02-29;1;10;13;20
2020-03-01;10;20;13;33
2020-03-02;14;34;47;80
2020-03-03;6;40;40;120
2020-03-04;13;53;41;161
2020-03-05;13;66;41;202
2020-03-06;20;86;32;234
2020-03-07;17;103;45;279
2020-03-08;25;128;72;351
2020-03-09;47;175;78;429
2020-03-10;39;214;137;566
2020-03-11;54;268;168;734
2020-03-12;81;349;186;920
2020-03-13;87;436;222;1142
2020-03-14;91;527;222;1364
2020-03-15;101;628;234;1598
2020-03-16;183;811;271;1869
2020-03-17;178;989;371;2240
2020-03-18;245;1234;458;2698
2020-03-19;349;1583;514;3212
2020-03-20;335;1918;696;3908
2020-03-21;280;2198;668;4576
2020-03-22;301;2499;540;5116
2020-03-23;556;3055;619;5735
2020-03-24;478;3533;1120;6855
2020-03-25;512;4045;1049;7904
2020-03-26;490;4535;1050;8954
2020-03-27;609;5144;1177;10131
2020-03-28;338;5482;985;11116
2020-03-29;301;5783;746;11862
2020-03-30;504;6287;805;12667
2020-03-31;341;6628;1124;13791
2020-04-01;362;6990;1042;14833
2020-04-02;352;7342;1028;15861
2020-04-03;333;7675;1221;17082
2020-04-04;198;7873;1096;18178
2020-04-05;217;8090;857;19035
2020-04-06;312;8402;773;19808
2020-04-07;193;8595;1089;20897
2020-04-08;189;8784;1344;22241
2020-04-09;186;8970;1314;23555
2020-04-10;171;9141;1394;24949
2020-04-11;133;9274;1055;26004
2020-04-12;126;9400;823;26827
2020-04-13;135;9535;756;27583
2020-04-14;159;9694;814;28397
2020-04-15;108;9802;1114;29511
2020-04-16;101;9903;1168;30679
2020-04-17;122;10025;1276;31955
2020-04-18;70;10095;994;32949
2020-04-19;60;10155;623;33572
2020-04-20;90;10245;585;34157
2020-04-21;71;10316;712;34869
2020-04-22;69;10385;971;35840
2020-04-23;76;10461;796;36636
2020-04-24;44;10505;661;37297
2020-04-25;44;10549;574;37871
2020-04-26;31;10580;379;38250
2020-04-27;39;10619;175;38425
2020-04-28;59;10678;393;38818
2020-04-29;41;10719;458;39276
2020-04-30;36;10755;506;39782
2020-05-01;29;10784;491;40273
2020-05-02;17;10801;311;40584
2020-05-03;32;10833;175;40759
2020-05-04;32;10865;284;41043
2020-05-05;18;10883;250;41293
2020-05-06;36;10919;299;41592
2020-05-07;27;10946;298;41890
2020-05-08;27;10973;327;42217
2020-05-09;16;10989;252;42469
2020-05-10;13;11002;152;42621
2020-05-11;23;11025;169;42790
2020-05-12;10;11035;218;43008
2020-05-13;19;11054;294;43302
2020-05-14;11;11065;184;43486
2020-05-15;10;11075;210;43696
2020-05-16;9;11084;157;43853
2020-05-17;9;11093;113;43966
2020-05-18;11;11104;103;44069
2020-05-19;8;11112;180;44249
2020-05-20;10;11122;294;44543
2020-05-21;8;11130;193;44736
2020-05-22;10;11140;195;44931
2020-05-23;8;11148;203;45134
2020-05-24;4;11152;150;45284
2020-05-25;14;11166;125;45409
2020-05-26;8;11174;173;45582
2020-05-27;8;11182;191;45773
2020-05-28;4;11186;206;45979
2020-05-29;9;11195;165;46144
2020-05-30;8;11203;170;46314
2020-05-31;6;11209;97;46411
2020-06-01;5;11214;99;46510
2020-06-02;9;11223;122;46632
2020-06-03;2;11225;186;46818
2020-06-04;8;11233;261;47079
2020-06-05;5;11238;222;47301
2020-06-06;3;11241;186;47487
2020-06-07;2;11243;134;47621
2020-06-08;6;11249;155;47776
2020-06-09;5;11254;142;47918
2020-06-10;2;11256;182;48100
2020-06-11;3;11259;205;48305
2020-06-12;5;11264;195;48500
2020-06-13;1;11265;131;48631
2020-06-14;2;11267;148;48779
2020-06-15;0;11267;129;48908
2020-06-16;4;11271;118;49026
2020-06-17;1;11272;137;49163
2020-06-18;3;11275;83;49246
2020-06-19;2;11277;101;49347
2020-06-20;3;11280;98;49445
2020-06-21;2;11282;57;49502
2020-06-22;4;11286;71;49573
2020-06-23;2;11288;75;49648
2020-06-24;2;11290;112;49760
2020-06-25;3;11293;83;49843
2020-06-26;0;11293;68;49911
2020-06-27;2;11295;81;49992
2020-06-28;1;11296;68;50060
2020-06-29;1;11297;50;50110
2020-06-30;1;11298;57;50167
2020-07-01;1;11299;74;50241
2020-07-02;0;11299;75;50316
2020-07-03;1;11300;59;50375
2020-07-04;0;11300;78;50453
2020-07-05;1;11301;43;50496
2020-07-06;2;11303;41;50537
2020-07-07;2;11305;49;50586
2020-07-08;1;11306;57;50643
2020-07-09;2;11308;62;50705
2020-07-10;1;11309;98;50803
2020-07-11;0;11309;74;50877
2020-07-12;1;11310;88;50965
2020-07-13;4;11314;102;51067
2020-07-14;1;11315;95;51162
2020-07-15;1;11316;151;51313
2020-07-16;0;11316;134;51447
2020-07-17;3;11319;162;51609
2020-07-18;3;11322;134;51743
2020-07-19;4;11326;153;51896
2020-07-20;2;11328;180;52076
2020-07-21;1;11329;166;52242
2020-07-22;3;11332;141;52383
2020-07-23;7;11339;218;52601
2020-07-24;3;11342;188;52789
2020-07-25;5;11347;193;52982
2020-07-26;2;11349;201;53183
2020-07-27;4;11353;202;53385
2020-07-28;6;11359;234;53619
2020-07-29;4;11363;345;53964
2020-07-30;12;11375;343;54307
2020-07-31;9;11384;552;54859
2020-08-01;4;11388;365;55224
2020-08-02;3;11391;335;55559
2020-08-03;9;11400;472;56031
2020-08-04;2;11402;488;56519
2020-08-05;6;11408;671;57190
2020-08-06;5;11413;538;57728
2020-08-07;10;11423;560;58288
2020-08-08;11;11434;624;58912
2020-08-09;13;11447;568;59480
2020-08-10;14;11461;525;60005
2020-08-11;6;11467;680;60685
2020-08-12;11;11478;602;61287
2020-08-13;9;11487;686;61973
2020-08-14;10;11497;590;62563
2020-08-15;8;11505;544;63107
2020-08-16;10;11515;436;63543
2020-08-17;10;11525;431;63974
2020-08-18;6;11531;563;64537
2020-08-19;2;11533;572;65109
2020-08-20;7;11540;500;65609
2020-08-21;6;11546;516;66125
2020-08-22;9;11555;497;66622
2020-08-23;1;11556;521;67143
2020-08-24;5;11561;440;67583
2020-08-25;8;11569;527;68110
2020-08-26;5;11574;469;68579
2020-08-27;3;11577;527;69106
2020-08-28;3;11580;546;69652
2020-08-29;1;11581;505;70157
2020-08-30;2;11583;512;70669
2020-08-31;0;11583;458;71127
2020-09-01;0;11583;2;71129
